Candidate,Gender,Race,State,DistrictNo,District,Party,ICO,PrimaryResults,PrimaryStatus,RunoffResults,RunoffStatus,GeneralResults,RankedChoiceResults,GeneralStatus,PVI,Clinton2016,Trump2016,WFD,MoneyRaised,MoneySpent,ElectedOffice
Grayson Parker,Male,White,NC,7,NC-7,Democrat,Challenger,33,0,,,,,,-9,39.9,57.6,0.072099023,2500,2500,No
Kyle Horton,Female,White,NC,7,NC-7,Democrat,Challenger,67,1,,,42.8,,0,-9,39.9,57.6,0.072099023,869044,853521,No
David Rouzer,Male,White,NC,7,NC-7,Republican,Incumbent,100,1,,,55.54,,1,-9,39.9,57.6,0.072099023,1561002,1323881,Yes
Frank McNeill,Male,White,NC,8,NC-8,Democrat,Challenger,56.02,1,,,44.66,,0,-8,41.1,56.1,0.066170072,648020,648020,No
Marc Tiegel,Male,White,NC,8,NC-8,Democrat,Challenger,20.97,0,,,,,,-8,41.1,56.1,0.066170072,52458,52259,No
Scott Huffman,Male,White,NC,8,NC-8,Democrat,Challenger,23.01,0,,,,,,-8,41.1,56.1,0.066170072,52259,4874,No
Richard Hudson,Male,White,NC,8,NC-8,Republican,Incumbent,100,1,,,55.34,,1,-8,41.1,56.1,0.066170072,2440575,2017675,Yes
Christian Cano,Male,Non-white,NC,9,NC-9,Democrat,Challenger,17.21,0,,,,,,-7,42.8,54.4,0.139074312,37376,36716,No
Dan McCready,Male,White,NC,9,NC-9,Democrat,Challenger,82.79,1,,,48.93,,,-7,42.8,54.4,0.139074312,6131437,6121978,No
Mark Harris,Male,White,NC,9,NC-9,Republican,Challenger,48.54,1,,,49.25,,,-7,42.8,54.4,0.139074312,2146613,2660829,No
Robert Pittenger,Male,White,NC,9,NC-9,Republican,Incumbent,46.22,0,,,,,,-7,42.8,54.4,0.139074312,1126106,1127716,Yes
"Clarence W. Goins, Jr.",Male,,NC,9,NC-9,Republican,Challenger,5.24,0,,,,,,-7,42.8,54.4,0.139074312,2500,2500,No
David Brown ,Male,White,NC,10,NC-10,Democrat,Challenger,100,1,,,40.71,,0,-13,36.4,61,0.074373964,128547,126574,No
"Albert Lee Wiley, Jr.",Male,White,NC,10,NC-10,Republican,Challenger,1.27,0,,,,,,-13,36.4,61,0.074373964,2500,2500,No
Gina Collias,Female,White,NC,10,NC-10,Republican,Challenger,13.79,0,,,,,,-13,36.4,61,0.074373964,28738,28679,No
Ira Roberts,Male,White,NC,10,NC-10,Republican,Challenger,3.52,0,,,,,,-13,36.4,61,0.074373964,5673,5569,No
Jeff Gregory,Male,White,NC,10,NC-10,Republican,Challenger,7.71,0,,,,,,-13,36.4,61,0.074373964,2500,2500,No
Patrick McHenry,Male,White,NC,10,NC-10,Republican,Incumbent,70.72,1,,,59.29,,1,-13,36.4,61,0.074373964,3716610,3752756,Yes
Seth Blankenship,Male,White,NC,10,NC-10,Republican,Challenger,2.99,0,,,,,,-13,36.4,61,0.074373964,6802,6569,No
Phillip G. Price,Male,White,NC,11,NC-11,Democrat,Challenger,40.59,1,,,38.75,,0,-14,34,63.2,0.074373964,237843,229052,No
Scott Donaldson,Male,White,NC,11,NC-11,Democrat,Challenger,28.27,0,,,,,,-14,34,63.2,0.074373964,63006,63005,No
Steve Woodsmall,Male,White,NC,11,NC-11,Democrat,Challenger,31.14,0,,,,,,-14,34,63.2,0.074373964,13478,15818,No
Chuck Archerd,Male,White,NC,11,NC-11,Republican,Challenger,13.65,0,,,,,,-14,34,63.2,0.074373964,2500,2500,No
Mark Meadows,Male,White,NC,11,NC-11,Republican,Incumbent,86.35,1,,,59.21,,1,-14,34,63.2,0.074373964,1773788,1262483,Yes
Alma Adams,Female,Non-white,NC,12,NC-12,Democrat,Incumbent,85.51,1,,,73.07,,1,18,68.4,28.4,0.180586467,588533,514349,Yes
Keith Young,Male,Non-white,NC,12,NC-12,Democrat,Challenger,5.61,0,,,,,,18,68.4,28.4,0.180586467,2500,2500,No
Gabe Ortiz,Male,Non-white,NC,12,NC-12,Democrat,Challenger,4.31,0,,,,,,18,68.4,28.4,0.180586467,2500,2500,No
Patrick Register,Male,White,NC,12,NC-12,Democrat,Challenger,4.57,0,,,,,,18,68.4,28.4,0.180586467,2500,2500,No
Carl Persson,Male,White,NC,12,NC-12,Republican,Challenger,25.3,0,,,,,,18,68.4,28.4,0.180586467,2500,2500,No
Paul Bonham,Male,White,NC,12,NC-12,Republican,Challenger,31.5,0,,,,,,18,68.4,28.4,0.180586467,9034,9034,No
Paul Wright,Male,White,NC,12,NC-12,Republican,Challenger,43.2,1,,,26.93,,0,18,68.4,28.4,0.180586467,2500,2500,Yes
Adam Coker,Male,White,NC,13,NC-13,Democrat,Challenger,29.9,0,,,,,,-6,44,53.4,0.093313952,71637,72022,No
Kathy Manning,Female,White,NC,13,NC-13,Democrat,Challenger,70.1,1,,,45.54,,0,-6,44,53.4,0.093313952,4188866,4174355,No
Ted Budd,Male,White,NC,13,NC-13,Republican,Incumbent,100,1,,,51.54,,1,-6,44,53.4,0.093313952,2306863,2215704,Yes
Mac Schneider ,Male,White,ND,1,ND-AL,Democrat,Open,100,1,,,35.57,,0,-16,27.7,64.1,,758661,758661,Yes
Kelly Armstrong,Male,White,ND,1,ND-AL,Republican,Open,56.3,1,,,60.2,,1,-16,27.7,64.1,,1744663,1601905,Yes
Paul Schaffner,Male,White,ND,1,ND-AL,Republican,Open,7.9,0,,,,,,-16,27.7,64.1,,2500,2500,No
Tiffany Abentroth,Female,White,ND,1,ND-AL,Republican,Open,8.9,0,,,,,,-16,27.7,64.1,,2500,2500,No
Tom Campbell,Male,White,ND,1,ND-AL,Republican,Open,26.9,0,,,,,,-16,27.7,64.1,,1199680,1022297,No
Dennis P. Crawford,Male,White,NE,1,NE-1,Democrat,Challenger,33.9,0,,,,,,-11,36.2,57.5,0.113442476,22966,22858,No
Jessica McClure,Female,White,NE,1,NE-1,Democrat,Challenger,66.1,1,,,39.64,,0,-11,36.2,57.5,0.113442476,72676,76893,No
Jeff Fortenberry,Male,White,NE,1,NE-1,Republican,Incumbent,100,1,,,60.36,,1,-11,36.2,57.5,0.113442476,759875,590612,Yes
Brad Ashford,Male,White,NE,2,NE-2,Democrat,Challenger,48.36,0,,,,,,-4,46,48.2,0.194423125,568551,569279,Yes
Kara Eastman,Female,White,NE,2,NE-2,Democrat,Challenger,51.64,1,,,49,,0,-4,46,48.2,0.194423125,2621063,2493801,No
Don Bacon,Male,White,NE,2,NE-2,Republican,Incumbent,100,1,,,51,,1,-4,46,48.2,0.194423125,2586591,2494417,Yes
Paul Theobald,Male,White,NE,3,NE-3,Democrat,Challenger,100,1,,,23.28,,0,-27,20,74.9,0.068073883,79534,72464,No
Arron Kowalski,Male,White,NE,3,NE-3,Republican,Challenger,5.76,0,,,,,,-27,20,74.9,0.068073883,2500,2500,No
Adiran Smith,Male,White,NE,3,NE-3,Republican,Incumbent,65.7,1,,,76.62,,1,-27,20,74.9,0.068073883,1219248,1584933,Yes
Kirk Penner,Male,White,NE,3,NE-3,Republican,Challenger,25.99,0,,,,,,-27,20,74.9,0.068073883,88085,87856,No
Larry Lee Scott Bolinger,Male,White,NE,3,NE-3,Republican,Challenger,2.5,0,,,,,,-27,20,74.9,0.068073883,2500,2500,No
Deaglan McEachern,Male,White,NH,1,NH-1,Democrat,Open,2.7,0,,,,,,-2,46.6,48.2,0.135887355,253548,251322,No
Chris Pappas,Male,White,NH,1,NH-1,Democrat,Open,42.2,1,,,53.5,,1,-2,46.6,48.2,0.135887355,2201724,2067744,Yes
Levi Sanders,Male,White,NH,1,NH-1,Democrat,Open,1.8,0,,,,,,-2,46.6,48.2,0.135887355,41994,26754,No
Lincoln Soldati,Male,White,NH,1,NH-1,Democrat,Open,3.1,0,,,,,,-2,46.6,48.2,0.135887355,173432,166361,No
Mark Mackenzie,Male,White,NH,1,NH-1,Democrat,Open,1.2,0,,,,,,-2,46.6,48.2,0.135887355,126480,128547,Yes
Maura Sullivan,Female,White,NH,1,NH-1,Democrat,Open,30.4,0,,,,,,-2,46.6,48.2,0.135887355,1643331,1601019,No
Mindi Messmer,Female,White,NH,1,NH-1,Democrat,Open,9.7,0,,,,,,-2,46.6,48.2,0.135887355,113170,137711,Yes
Naomi Andrews,Female,White,NH,1,NH-1,Democrat,Open,7.1,0,,,,,,-2,46.6,48.2,0.135887355,96325,95356,No
Paul Cardinal,Male,White,NH,1,NH-1,Democrat,Open,0.5,0,,,,,,-2,46.6,48.2,0.135887355,2500,2500,No
Terence O'Rourke,Male,White,NH,1,NH-1,Democrat,Open,1,0,,,,,,-2,46.6,48.2,0.135887355,17581,16483,No
William Martin,Male,White,NH,1,NH-1,Democrat,Open,0.4,0,,,,,,-2,46.6,48.2,0.135887355,2500,2500,No
Eddie Edwards,Male,Non-white,NH,1,NH-1,Republican,Open,48,1,,,45,,0,-2,46.6,48.2,0.135887355,1227685,1177931,No
Andy Martin,Male,White,NH,1,NH-1,Republican,Open,4.2,0,,,,,,-2,46.6,48.2,0.135887355,2500,2500,No
Andy Sanborn,Male,White,NH,1,NH-1,Republican,Open,41.6,0,,,,,,-2,46.6,48.2,0.135887355,679772,624032,Yes
Bruce Crochetiere,Male,White,NH,1,NH-1,Republican,Open,1.6,0,,,,,,-2,46.6,48.2,0.135887355,254144,237995,No
Jeffory Denaro,Male,White,NH,1,NH-1,Republican,Open,2,0,,,,,,-2,46.6,48.2,0.135887355,2500,2500,No
Michael Callis,Male,White,NH,1,NH-1,Republican,Open,2.6,0,,,,,,-2,46.6,48.2,0.135887355,2500,2500,No
Ann McLane Kuster,Female,White,NH,2,NH-2,Democrat,Incumbent,100,1,,,55.6,,1,2,48.6,46.2,0.117392376,3329643,3272503,Yes
Brian Belanger,Male,White,NH,2,NH-2,Republican,Challenger,5.6,0,,,,,,2,48.6,46.2,0.117392376,2500,2500,No
Gerard Beloin,Male,White,NH,2,NH-2,Republican,Challenger,1.5,0,,,,,,2,48.6,46.2,0.117392376,2500,2500,No
Lynne Blankenbeker,Female,White,NH,2,NH-2,Republican,Challenger,22.9,0,,,,,,2,48.6,46.2,0.117392376,128413,124752,Yes
Robert Burns,Male,White,NH,2,NH-2,Republican,Challenger,15.9,0,,,,,,2,48.6,46.2,0.117392376,39186,39056,No
Steve Negron,Male,White,NH,2,NH-2,Republican,Challenger,26,1,,,42.2,,0,2,48.6,46.2,0.117392376,437739,429374,Yes
Stewart Levenson,Male,White,NH,2,NH-2,Republican,Challenger,25.3,0,,,,,,2,48.6,46.2,0.117392376,450386,450386,No
Jay Mercer,Male,,NH,2,NH-2,Republican,Challenger,2.9,0,,,,,,2,48.6,46.2,0.117392376,2500,2500,No
Donald Norcross,Male,White,NJ,1,NJ-1,Democrat,Incumbent,84,1,,,64.4,,1,13,60.6,36.1,0.227762192,2173297,1464856,Yes
Robert Carlson,Male,White,NJ,1,NJ-1,Democrat,Challenger,9.8,0,,,,,,13,60.6,36.1,0.227762192,2500,2500,No
Scot Tomaszewski,Male,White,NJ,1,NJ-1,Democrat,Challenger,6.2,0,,,,,,13,60.6,36.1,0.227762192,34544,34544,No
Paul Dilks,Male,White,NJ,1,NJ-1,Republican,Challenger,100,1,,,33.3,,0,13,60.6,36.1,0.227762192,12998,12998,No
Tanzie Youngblood,Female,Non-white,NJ,2,NJ-2,Democrat,Open,19.2,0,,,,,,-1,46,50.6,0.176940946,113408,111238,No
William Cunningham,Male,Non-white,NJ,2,NJ-2,Democrat,Open,16.8,0,,,,,,-1,46,50.6,0.176940946,77313,77312,No
Jeff Van Drew,Male,White,NJ,2,NJ-2,Democrat,Open,55.4,1,,,52.9,,1,-1,46,50.6,0.176940946,1846173,1840885,Yes
Nate Kleinman,Male,White,NJ,2,NJ-2,Democrat,Open,8.6,0,,,,,,-1,46,50.6,0.176940946,94927,94594,No
Hirsh Singh,Male,Non-white,NJ,2,NJ-2,Republican,Open,30.5,0,,,,,,-1,46,50.6,0.176940946,143971,143971,No
Robert Turkavage,Male,White,NJ,2,NJ-2,Republican,Open,7.1,0,,,,,,-1,46,50.6,0.176940946,10242,10241,No
Sam Fiocchi,Male,White,NJ,2,NJ-2,Republican,Open,23.4,0,,,,,,-1,46,50.6,0.176940946,18129,18129,Yes
Seth Grossman,Male,White,NJ,2,NJ-2,Republican,Open,39,1,,,45.2,,0,-1,46,50.6,0.176940946,301941,296521,Yes
Andy Kim,Male,Non-white,NJ,3,NJ-3,Democrat,Challenger,100,1,,,50,,1,-2,45.2,51.4,0.180497019,6299669,6227870,No
Tom MacArthur,Male,White,NJ,3,NJ-3,Republican,Incumbent,100,1,,,48.7,,0,-2,45.2,51.4,0.180497019,4750234,4664413,Yes
Jim Keady,Male,White,NJ,4,NJ-4,Democrat,Challenger,42.8,0,,,,,,-8,41,55.8,0.190561881,290338,284427,Yes
Joshua Welle,Male,White,NJ,4,NJ-4,Democrat,Challenger,57.2,1,,,43.1,,0,-8,41,55.8,0.190561881,1845824,1800249,No
Christopher H. Smith,Male,White,NJ,4,NJ-4,Republican,Incumbent,100,1,,,55.4,,1,-8,41,55.8,0.190561881,1296469,1504695,Yes
Josh Gottheimer,Male,White,NJ,5,NJ-5,Democrat,Incumbent,100,1,,,56.2,,1,-3,47.7,48.8,0.208230333,6800641,2736339,Yes
John McCann,Male,White,NJ,5,NJ-5,Republican,Challenger,53.1,1,,,42.5,,0,-3,47.7,48.8,0.208230333,936708,931342,No
Steve Lonegan,Male,White,NJ,5,NJ-5,Republican,Challenger,46.9,0,,,,,,-3,47.7,48.8,0.208230333,758751,755771,Yes
Javahn Walker,Male,Non-white,NJ,6,NJ-6,Democrat,Challenger,13.7,0,,,,,,9,56.2,40.6,0.294097339,2500,2500,No
Frank Pallone Jr.,Male,White,NJ,6,NJ-6,Democrat,Incumbent,86.3,1,,,63.6,,1,9,56.2,40.6,0.294097339,2797603,1657654,Yes
Richard Pezzullo,Male,White,NJ,6,NJ-6,Republican,Challenger,100,1,,,36.4,,0,9,56.2,40.6,0.294097339,97210,39952,No
Goutam Jois,Male,Non-white,NJ,7,NJ-7,Democrat,Challenger,14.1,0,,,,,,-3,48.6,47.5,0.192961853,259406,259692,No
Peter Jacob,Male,Non-white,NJ,7,NJ-7,Democrat,Challenger,19.1,0,,,,,,-3,48.6,47.5,0.192961853,125393,140273,No
Tom Malinowski,Male,White,NJ,7,NJ-7,Democrat,Challenger,66.8,1,,,51.7,,1,-3,48.6,47.5,0.192961853,6236361,6148387,No
Leonard Lance,Male,White,NJ,7,NJ-7,Republican,Incumbent,74.9,1,,,46.7,,0,-3,48.6,47.5,0.192961853,2533014,2647051,Yes
Lindsay Brown,Female,White,NJ,7,NJ-7,Republican,Challenger,14.4,0,,,,,,-3,48.6,47.5,0.192961853,4365,7357,No
Raafat Barsoom,Male,White,NJ,7,NJ-7,Republican,Challenger,10.7,0,,,,,,-3,48.6,47.5,0.192961853,2500,2500,No
Albio Sires,Male,Non-white,NJ,8,NJ-8,Democrat,Incumbent,100,1,,,78.1,,1,27,75.7,21.5,0.475134787,459609,591047,Yes
John Muniz,Male,White,NJ,8,NJ-8,Republican,Challenger,100,1,,,18.7,,0,27,75.7,21.5,0.475134787,5464,5464,No
Bill Pascrell Jr.,Male,White,NJ,9,NJ-9,Democrat,Incumbent,85.7,1,,,70.3,,1,16,64.3,33.1,0.357667027,1703335,1359062,Yes
William Henry,Male,,NJ,9,NJ-9,Democrat,Challenger,14.3,0,,,,,,16,64.3,33.1,0.357667027,2500,2500,No
Eric Fisher,Male,White,NJ,9,NJ-9,Republican,Challenger,100,1,,,28.9,,0,16,64.3,33.1,0.357667027,2500,2500,No
Aaron Fraser,Male,Non-white,NJ,10,NJ-10,Democrat,Challenger,8.3,0,,,,,,36,85.2,12.8,0.396175875,2500,2500,No
Donald M. Payne Jr.,Male,Non-white,NJ,10,NJ-10,Democrat,Incumbent,91.7,1,,,87.6,,1,36,85.2,12.8,0.396175875,537180,553190,Yes
Agha Khan,Male,Non-white,NJ,10,NJ-10,Republican,Challenger,100,1,,,10.1,,0,36,85.2,12.8,0.396175875,2500,2500,No
Tamara Harris,Female,Non-white,NJ,11,NJ-11,Democrat,Open,14.5,0,,,,,,-3,47.9,48.8,0.225402001,959324,959324,No
Alison Heslin,Female,White,NJ,11,NJ-11,Democrat,Open,2.7,0,,,,,,-3,47.9,48.8,0.225402001,2500,2500,No
Mikie Sherrill,Female,White,NJ,11,NJ-11,Democrat,Open,77.5,1,,,56.8,,1,-3,47.9,48.8,0.225402001,8461807,7906965,No
Mark Washburne,Male,White,NJ,11,NJ-11,Democrat,Open,3.4,0,,,,,,-3,47.9,48.8,0.225402001,2500,2500,No
Mitchell Cobert,Male,White,NJ,11,NJ-11,Democrat,Open,1.9,0,,,,,,-3,47.9,48.8,0.225402001,132261,132261,No
Antony Ghee,Male,Non-white,NJ,11,NJ-11,Republican,Open,21.9,0,,,,,,-3,47.9,48.8,0.225402001,107905,107905,No
Jay Webber,Male,White,NJ,11,NJ-11,Republican,Open,40,1,,,42.1,,0,-3,47.9,48.8,0.225402001,1666130,1619406,Yes
Martin Hewitt,Male,White,NJ,11,NJ-11,Republican,Open,3.5,0,,,,,,-3,47.9,48.8,0.225402001,18862,18780,No
Patrick Allocco,Male,White,NJ,11,NJ-11,Republican,Open,4.1,0,,,,,,-3,47.9,48.8,0.225402001,14500,18047,No
Peter De Neufville,Male,White,NJ,11,NJ-11,Republican,Open,30.5,0,,,,,,-3,47.9,48.8,0.225402001,1292393,1276416,No
Bonnie Watson Coleman,Female,Non-white,NJ,12,NJ-12,Democrat,Incumbent,100,1,,,68.7,,1,16,65,31.8,0.29059427,896140,798475,Yes
Daryl Kipnis,Male,White,NJ,12,NJ-12,Republican,Challenger,100,1,,,31.3,,0,16,65,31.8,0.29059427,23508,23508,No
Antoinette Sedillo Lopez,Female,Non-white,NM,1,NM-1,Democrat,Open,20.6,0,,,,,,7,51.6,35.1,0.252616026,1059078,1056497,No
Damian Lara,Male,Non-white,NM,1,NM-1,Democrat,Open,3.3,0,,,,,,7,51.6,35.1,0.252616026,471677,471677,No
Damon Martinez,Male,Non-white,NM,1,NM-1,Democrat,Open,25.8,0,,,,,,7,51.6,35.1,0.252616026,702035,701748,No
Paul Moya,Male,Non-white,NM,1,NM-1,Democrat,Open,5.9,0,,,,,,7,51.6,35.1,0.252616026,169952,168436,No
Debra Haaland,Female,Non-white,NM,1,NM-1,Democrat,Open,40.6,1,,,59.13,,1,7,51.6,35.1,0.252616026,2146379,2116735,No
Patrick Davis,Male,White,NM,1,NM-1,Democrat,Open,3.8,0,,,,,,7,51.6,35.1,0.252616026,373312,372559,Yes
Janice Arnold-Jones,Female,White,NM,1,NM-1,Republican,Open,100,1,,,36.32,,0,7,51.6,35.1,0.252616026,317386,317386,Yes
Xochitl Torres Small,Female,Non-white,NM,2,NM-2,Democrat,Open,72.6,1,,,50.93,,1,-6,39.9,50.1,0.171145258,4746722,4516135,No
Madeline Hildebrandt,Female,White,NM,2,NM-2,Democrat,Open,27.4,0,,,,,,-6,39.9,50.1,0.171145258,219050,212565,No
Gavin Clarkson,Male,Non-white,NM,2,NM-2,Republican,Open,12.4,0,,,,,,-6,39.9,50.1,0.171145258,144386,144386,No
Yvette Herrell,Female,Non-white,NM,2,NM-2,Republican,Open,49,1,,,49.07,,0,-6,39.9,50.1,0.171145258,1495035,1298883,Yes
Clayburn Griffin,Male,White,NM,2,NM-2,Republican,Open,6.5,0,,,,,,-6,39.9,50.1,0.171145258,8322,8322,No
Monty Newman,Male,White,NM,2,NM-2,Republican,Open,32.1,0,,,,,,-6,39.9,50.1,0.171145258,740282,740282,Yes
Ben Ray Luján,Male,Non-white,NM,3,NM-3,Democrat,Incumbent,100,1,,,63.38,,1,8,51.8,36.7,0.168116563,1946715,2258353,Yes
Jerald Steve McFall,Male,White,NM,3,NM-3,Republican,Challenger,100,1,,,31.21,,0,8,51.8,36.7,0.168116563,2500,2500,No
Reuben D'Silva,Male,Non-white,NV,1,NV-1,Democrat,Challenger,21.31,0,,,,,,15,61.6,32.6,0.342667673,87350,69078,No
Dina Titus,Female,White,NV,1,NV-1,Democrat,Incumbent,78.69,1,,,66.2,,1,15,61.6,32.6,0.342667673,719293,721936,Yes
Joyce Bentley,Female,Non-white,NV,1,NV-1,Republican,Challenger,55.18,1,,,30.9,,0,15,61.6,32.6,0.342667673,2500,2500,No
Fred Horne,Male,White,NV,1,NV-1,Republican,Challenger,44.82,0,,,,,,15,61.6,32.6,0.342667673,2500,2500,No
Clint Koble,Male,White,NV,2,NV-2,Democrat,Challenger,26.13,1,,,41.8,,0,-7,39.7,52,0.147021046,153467,152914,No
Douglas Jesse Hurley,Male,White,NV,2,NV-2,Democrat,Challenger,8.04,0,,,,,,-7,39.7,52,0.147021046,2500,2500,No
Jack L. Schofield,Male,White,NV,2,NV-2,Democrat,Challenger,7.5,0,,,,,,-7,39.7,52,0.147021046,2500,2500,No
Patrick Fogarty,Male,White,NV,2,NV-2,Democrat,Challenger,22.83,0,,,,,,-7,39.7,52,0.147021046,21578,21578,No
Rick Shepherd,Male,White,NV,2,NV-2,Democrat,Challenger,21.28,0,,,,,,-7,39.7,52,0.147021046,36774,26750,No
Vance Alm,Male,White,NV,2,NV-2,Democrat,Challenger,13.22,0,,,,,,-7,39.7,52,0.147021046,2500,2500,No
Ian Luetkehans,Male,White,NV,2,NV-2,Republican,Challenger,1.49,0,,,,,,-7,39.7,52,0.147021046,2500,2500,No
Joel Beck,Male,White,NV,2,NV-2,Republican,Challenger,8.47,0,,,,,,-7,39.7,52,0.147021046,2500,2500,No
Mark E. Amodei,Male,White,NV,2,NV-2,Republican,Incumbent,71.69,1,,,58.2,,1,-7,39.7,52,0.147021046,1196863,1050945,Yes
Sharron Angle,Female,White,NV,2,NV-2,Republican,Challenger,18.34,0,,,,,,-7,39.7,52,0.147021046,52390,34981,Yes
Eric Stoltz,Male,White,NV,3,NV-3,Democrat,Open,7.25,0,,,,,,-2,46.5,47.5,0.217983595,2500,2500,No
Guy Pinjuv,Male,White,NV,3,NV-3,Democrat,Open,3.5,0,,,,,,-2,46.5,47.5,0.217983595,2500,2500,No
"John ""Jack"" Love",Male,White,NV,3,NV-3,Democrat,Open,5.8,0,,,,,,-2,46.5,47.5,0.217983595,21235,21310,No
Susie Lee,Female,White,NV,3,NV-3,Democrat,Open,66.91,1,,,51.9,,1,-2,46.5,47.5,0.217983595,5032299,5018648,No
Michael Weiss,Male,White,NV,3,NV-3,Democrat,Open,8.18,0,,,,,,-2,46.5,47.5,0.217983595,10050,8778,No
Steven Mitchell Schiffman,Male,White,NV,3,NV-3,Democrat,Open,3.51,0,,,,,,-2,46.5,47.5,0.217983595,2500,2500,No
"Richard ""Rick"" Hart",Male,,NV,3,NV-3,Democrat,Open,4.85,0,,,,,,-2,46.5,47.5,0.217983595,2500,2500,No
Annette Teijiero,Female,Non-white,NV,3,NV-3,Republican,Open,3.54,0,,,,,,-2,46.5,47.5,0.217983595,25877,13293,No
Danny Tarkanian,Male,White,NV,3,NV-3,Republican,Open,44.13,1,,,42.8,,0,-2,46.5,47.5,0.217983595,2279981,2257003,No
David McKeon,Male,White,NV,3,NV-3,Republican,Open,4.91,0,,,,,,-2,46.5,47.5,0.217983595,75080,75080,No
Patrick Carter,Male,White,NV,3,NV-3,Republican,Open,2.72,0,,,,,,-2,46.5,47.5,0.217983595,7837,6594,Yes
Scott Hammond,Male,White,NV,3,NV-3,Republican,Open,16.79,0,,,,,,-2,46.5,47.5,0.217983595,276104,276104,Yes
"Stephanie ""Bdybysteph"" Jones",Female,White,NV,3,NV-3,Republican,Open,1.3,0,,,,,,-2,46.5,47.5,0.217983595,2500,2500,No
Eddie Hamilton,Male,,NV,3,NV-3,Republican,Open,1.04,0,,,,,,-2,46.5,47.5,0.217983595,2500,2500,No
Michelle Mortensen,Female,,NV,3,NV-3,Republican,Open,24.56,0,,,,,,-2,46.5,47.5,0.217983595,110278,110210,No
Thomas Mark La Croix,Male,,NV,3,NV-3,Republican,Open,1,0,,,,,,-2,46.5,47.5,0.217983595,2500,2500,No
Allison Stephens,Female,Non-white,NV,4,NV-4,Democrat,Open,6.02,0,,,,,,3,49.5,44.6,0.181465446,50031,30400,Yes
Steven A. Horsford,Male,Non-white,NV,4,NV-4,Democrat,Open,61.74,1,,,51.9,,1,3,49.5,44.6,0.181465446,2251532,2223348,Yes
"Patricia ""Pat"" Spearman",Female,Non-white,NV,4,NV-4,Democrat,Open,15.25,0,,,,,,3,49.5,44.6,0.181465446,163451,163451,Yes
Amy Vilela,Female,White,NV,4,NV-4,Democrat,Open,9.2,0,,,,,,3,49.5,44.6,0.181465446,176884,176884,No
John Anzalone,Male,White,NV,4,NV-4,Democrat,Open,5.8,0,,,,,,3,49.5,44.6,0.181465446,115934,115934,No
Sid Zeller,Male,White,NV,4,NV-4,Democrat,Open,2,0,,,,,,3,49.5,44.6,0.181465446,2500,2500,No
Mike Monroe,Male,Non-white,NV,4,NV-4,Republican,Open,3.02,0,,,,,,3,49.5,44.6,0.181465446,,2500,No
Bill Townsend,Male,White,NV,4,NV-4,Republican,Open,11.37,0,,,,,,3,49.5,44.6,0.181465446,30397,30397,No
Cresent Hardy,Male,White,NV,4,NV-4,Republican,Open,47.41,1,,,43.7,,0,3,49.5,44.6,0.181465446,883918,856502,Yes
Glenn David Gibbs,Male,White,NV,4,NV-4,Republican,Open,18.96,0,,,,,,3,49.5,44.6,0.181465446,30330,30330,No
Jeff Miller,Male,White,NV,4,NV-4,Republican,Open,7.96,0,,,,,,3,49.5,44.6,0.181465446,2500,2500,No
Kenneth A. Wegner,Male,,NV,4,NV-4,Republican,Open,11.27,0,,,,,,3,49.5,44.6,0.181465446,6777,6752,No
Vivian Viloria-Fisher,Female,Non-white,NY,1,NY-1,Democrat,Challenger,16.3,0,,,,,,-5,42.2,54.5,0.189221398,165157,165157,Yes
David Pechefsky,Male,White,NY,1,NY-1,Democrat,Challenger,11.9,0,,,,,,-5,42.2,54.5,0.189221398,262716,259025,No
Elaine DiMasi,Female,White,NY,1,NY-1,Democrat,Challenger,5.9,0,,,,,,-5,42.2,54.5,0.189221398,93735,90073,No
Kate Browning,Female,White,NY,1,NY-1,Democrat,Challenger,30.3,0,,,,,,-5,42.2,54.5,0.189221398,531805,523020,Yes
Perry Gershon,Male,White,NY,1,NY-1,Democrat,Challenger,35.5,1,,,47.4,,0,-5,42.2,54.5,0.189221398,5006043,4994447,No
Lee Zeldin,Male,White,NY,1,NY-1,Republican,Incumbent,100,1,,,51.5,,1,-5,42.2,54.5,0.189221398,4415676,4756937,Yes
DuWayne Gregory,Male,Non-white,NY,2,NY-2,Democrat,Challenger,41.8,0,,,,,,-3,43.9,53,0.229398488,168467,171904,Yes
Liuba Shirley,Female,White,NY,2,NY-2,Democrat,Challenger,58.2,1,,,46.9,,0,-3,43.9,53,0.229398488,1967120,1856144,No
Peter King,Male,White,NY,2,NY-2,Republican,Incumbent,100,1,,,53.1,,1,-3,43.9,53,0.229398488,1313650,3113531,Yes
Thomas Suozzi,Male,White,NY,3,NY-3,Democrat,Incumbent,100,1,,,59,,1,1,51.6,45.5,0.257172736,2692207,1398357,Yes
Dan DeBono,Male,White,NY,3,NY-3,Republican,Challenger,100,1,,,41,,0,1,51.6,45.5,0.257172736,453261,453210,No
Kathleen Rice,Female,White,NY,4,NY-4,Democrat,Incumbent,100,1,,,61.3,,1,4,53.4,43.8,0.286139869,1391804,1526653,Yes
Ameer Benno,Male,White,NY,4,NY-4,Republican,Challenger,100,1,,,38.7,,0,4,53.4,43.8,0.286139869,,,No
Mizan Choudhury,Male,Non-white,NY,5,NY-5,Democrat,Challenger,8.8,0,,,,,,37,85.7,12.7,0.439352268,35412,42498,No
